id,decimallongitude,decimallatitude,date_year,depth,sst
d03de78d-6459-4219-a452-66843732d006,39.755,-4.01999,2012.0,3.0,27.23
b247b8be-1f7d-4e65-98be-066657ace536,31.0125,30.7749,2011.0,7.5,
6a9a42f1-45a1-4df0-aaf2-d5d8c9b5d6c3,34.5197,28.4991,2011.0,5.65,24.81
bf076e66-4359-4e5e-972b-e6bd04065694,33.9849,26.8251,2013.0,11.58,25.65
76c3d16c-9b4d-4fb3-a9e1-66b8dc9f1437,134.109,-0.87095,2011.0,11.0,29.48
0cc5298d-9844-401d-9ca3-2caa022144c7,34.5238,28.5574,2012.0,7.6,24.75
470c9201-fff5-4fd6-8355-1cbcd55c959a,34.4133,25.9024,2014.0,8.0,
9261c979-7d05-4645-a133-ffd92afb2e14,33.9535,27.1399,2013.0,5.79,25.6
42fbbc7a-9330-4b55-baec-c3c8156a4c85,146.059,-16.417,2013.0,9.0,26.51
7460483f-c66e-4cc0-8c19-8c61e43c4af3,92.6984,11.9676,2013.0,7.15,28.86
eddc414e-b969-4996-a3f7-1d7c215edeba,120.895,13.68,2013.0,9.1440182880366,28.22
d3265449-5db8-484c-aa0b-42e7c844f5dc,106.743,8.68574,2013.0,10.7,28.1
7fd41862-7a48-468a-98f2-310b303ea64d,106.74,8.69912,2013.0,9.3,28.1
8b8d2f1f-b6d0-44e5-bfca-7bd0ae1a1827,34.1086,26.6531,2013.0,13.41,25.66
112e61f1-7077-4295-ae3e-06521c87a2e4,34.8612,25.3111,2013.0,14.785,26.1
958eec52-ad1a-43e6-b3a0-fdf154e455e3,34.4197,25.8689,2013.0,7.165,25.81
f0bb702c-e725-4d68-b661-4056a4f6b971,34.3203,27.8622,2003.0,5.5,25.61
d100d91d-8831-490b-a6ac-4a0c47a46450,34.2823,27.6431,2011.0,12.0,25.77
7994f650-e7d2-420f-92ad-4e92f2860f7b,73.5123,5.3747,2012.0,11.0,28.91
47d1c749-969a-49cc-9afa-22af6efd8fb0,123.674,9.5099,2011.0,13.5,28.52
31e64e25-e7a2-46f9-8665-1a8f7a820efd,33.9368,26.7763,2012.0,9.25,25.65
abc5ae31-13dd-414e-bcab-8b53b8c61325,33.9833,26.8167,2012.0,8.5,25.65
