id,decimallongitude,decimallatitude,date_year,depth,sst
a8afb94d-7555-495c-b738-76ea8413917e,-65.00158,18.20217,2013.0,39.0,27.77
a832a3d6-7d1a-4980-a2a7-72f739418e01,-65.00158,18.20217,2016.0,39.0,27.77
af9c2f4b-b30a-4526-a383-518e04278227,-65.00158,18.20217,2014.0,39.0,27.77
afa7c673-5784-43f5-868b-c391e1098a79,-64.83238,18.29459,2015.0,15.0,27.71
afce2e9a-a4aa-4fe9-a253-185a5f40a658,-64.95659,18.18885,2018.0,38.0,27.76
b132d40d-701c-4fcd-a7dc-6da5294db23e,-64.95659,18.18885,2011.0,38.0,27.76
b2664d7c-5983-440e-9b5e-71030f2f7878,-64.95659,18.18885,2018.0,38.0,27.76
b1bbbbc3-626d-4900-b36a-4d66dddfb6c2,-64.87237,18.26267,2015.0,20.0,27.71
b3fa6f4f-c8ea-42c4-b181-737a006fabf1,-64.95659,18.18885,2019.0,38.0,27.76
b458cdce-f09f-4420-96e0-05b2c6b51456,-64.95659,18.18885,2014.0,38.0,27.76
b46988da-ee59-4a59-afa2-a6812e0ef981,-64.75862,18.24447,2019.0,30.0,27.75
b54e2f74-71ef-4a8d-987f-c75953f1d047,-64.8624,17.6366,2016.0,24.0,27.89
b5a3e47b-2145-4bb9-8a88-9c3691b7a7a0,-64.87237,18.26267,2013.0,20.0,27.71
b6a26fbe-0411-43f9-ac32-b55550ad68a8,-64.87237,18.26267,2013.0,20.0,27.71
b47fc974-ee75-4f46-94d4-25c509f8597e,-65.00158,18.20217,2014.0,39.0,27.77
b4e8ee8d-41aa-4884-9922-90d2db41825d,-65.07677,18.18568,2011.0,30.0,27.77
b5fd2a4a-912c-4a0a-a471-62cc554e2224,-64.90008,17.69116,2014.0,17.0,27.87
b7106e90-df69-4920-b498-f4a5c3cbed14,-65.00158,18.20217,2015.0,39.0,27.77
c1c6c0b8-b295-4676-a9ba-df5d74154bd7,-64.83238,18.29459,2015.0,15.0,27.71
bfb186f7-147c-4d88-af8e-a5a695fe6c22,-64.87237,18.26267,2018.0,20.0,27.71
bfb511ad-e91e-4072-940f-0a1eacc1e6bc,-64.75917,17.78523,2018.0,30.0,27.83
c050c725-1acf-4247-81c9-e577e46a0ea0,-64.75862,18.24447,2018.0,30.0,27.75
c09797db-0d96-43fe-8016-ea5941ccac0e,-64.87237,18.26267,2013.0,20.0,27.71
c681f8fd-275c-4c25-997b-38c8f16b2f80,-64.44963,17.82427,2016.0,33.0,27.83
c886b488-46d5-4002-b9f1-996b49058633,-64.95659,18.18885,2019.0,38.0,27.76
c8c1f2b0-8fb7-42b0-8089-164a748cce07,-64.54706,17.72145,2016.0,27.0,27.86
ca742c65-2827-43fe-8ef6-46daa19e1bcd,-64.90008,17.69116,2014.0,17.0,27.87
caba08ab-b85c-4fd8-8544-c131bae352cf,-64.6988,17.7615,2015.0,10.0,27.82
caf77ea4-5a5e-446b-9fab-3fea348c8dea,-65.03442,18.35738,2017.0,8.0,27.72
cb3f5a9a-0ede-4fdc-ae66-1fd166eeaf21,-65.07677,18.18568,2017.0,30.0,27.77
cb419f80-c62c-4f65-ba57-cdcb9ea89f34,-64.44963,17.82427,2014.0,33.0,27.83
cbb8c968-4b3d-466d-bc95-611be7dd9c39,-64.95659,18.18885,2019.0,38.0,27.76
ccefbedf-5e39-4c3e-bf64-4a381e12309a,-64.95659,18.18885,2015.0,38.0,27.76
cd29a675-cb82-47b3-994e-98cf841ba00f,-65.00158,18.20217,2012.0,39.0,27.77
cd3c5ce4-4dc5-4f7e-9f19-6d2221f7fc83,-64.70402,18.33797,2016.0,9.0,27.68
3dbd6742-42f8-46d3-8d0a-e33d27243546,-170.60717,-14.27779,2004.0,17.0,28.69
ce4a5a27-37e7-4151-97ac-d81bf02c74c2,-65.00158,18.20217,2018.0,39.0,27.77
ce6bd758-0006-4af4-80ba-7b8197334530,-64.95998,18.1877,2013.0,63.0,27.76
fc3560ce-04a8-44bb-8733-129a4704f4ef,-80.1979,25.31273,2016.0,8.8,27.09
ceef6c29-2a76-4399-a79a-243d387e5e7f,-64.75862,18.24447,2016.0,30.0,27.75
cf813fd9-1d4f-4d13-912d-7af6f7b98649,-64.90008,17.69116,2016.0,17.0,27.87
d1cba4de-abe4-4a28-a7a1-cb4d2d417781,-64.83238,18.29459,2013.0,15.0,27.71
d15a903b-41b8-4dc5-b4c4-e1395681c1f4,-64.87237,18.26267,2017.0,20.0,27.71
d18f001e-6b27-4ea3-b1b0-4d2281e9b919,-64.83238,18.29459,2019.0,15.0,27.71
d4ad69b5-8cc7-489a-9f91-5c166a26a797,-64.87237,18.26267,2014.0,20.0,27.71
d5034ae0-7a83-447a-9e37-dafdd3787077,-64.60917,17.785,2014.0,15.0,27.82
d50fddb0-8e54-402d-afcf-3b5b3f5f4147,-65.00158,18.20217,2018.0,39.0,27.77
d5150188-e165-4e54-8cde-4a2f34730119,-64.95659,18.18885,2017.0,38.0,27.76
d5370299-b579-41bf-8f4d-ee2106a8c8ae,-65.07677,18.18568,2013.0,30.0,27.77
c273354b-2490-4963-b079-cbcc60e36b07,-64.95659,18.18885,2015.0,38.0,27.76
c376ef56-b0a0-4dd1-a03a-6dbe922383c6,-64.54706,17.72145,2012.0,27.0,27.86
c3d1a883-ff12-4ac3-b9e0-b020e49fa7b8,-64.95659,18.18885,2017.0,38.0,27.76
c3e0e0b4-8102-40ef-b217-d7eaa4f88419,-65.00158,18.20217,2017.0,39.0,27.77
c469c486-338d-4366-b12d-67dde009698a,-64.87237,18.26267,2014.0,20.0,27.71
e8616c53-1ac1-45e1-8852-d406d2ed0332,-64.8675,18.29467,2016.0,20.0,27.71
d977c4be-950f-48d9-a691-d91810e29467,-65.07677,18.18568,2015.0,30.0,27.77
d9b5f8f6-5f2c-4732-ba38-9b14cd58001f,-64.83238,18.29459,2013.0,15.0,27.71
db90d11d-efcb-4632-9158-4e1f435929f8,-65.00158,18.20217,2014.0,39.0,27.77
da458a89-3628-473b-823c-761c8746ace8,-64.95659,18.18885,2014.0,38.0,27.76
d6b7ac9c-987a-45e3-a302-0c11c8cf4745,-65.07677,18.18568,2018.0,30.0,27.77
e9193606-a811-471f-af31-57b475cb23f0,-65.07677,18.18568,2018.0,30.0,27.77
e921ca7a-2872-41bf-b256-9b1bf1ccf3a7,-65.00158,18.20217,2017.0,39.0,27.77
d56e260f-13f7-4e15-bb58-78d8671a4b22,-65.07677,18.18568,2014.0,30.0,27.77
d56ff441-0031-4c66-a6e8-43f287c0b315,-65.07677,18.18568,2017.0,30.0,27.77
d7846a7d-00fc-43c3-a4f5-40797b202f07,-64.8675,18.29467,2018.0,20.0,27.71
d7db113f-51f6-4d92-862f-cabac32f9f45,-64.59935,17.80659,2018.0,33.0,27.82
d80b5815-29d1-40dd-ad63-f049f6b28f12,-65.07677,18.18568,2018.0,30.0,27.77
d820a362-b08d-4d8b-9f46-f335cdbee3a6,-65.00158,18.20217,2014.0,39.0,27.77
d90a5dc5-aaf6-4552-8929-33feaaa9d423,-65.07677,18.18568,2016.0,30.0,27.77
e2ab7bda-88d1-4884-9c4c-b91ca4dbc3a6,-65.00158,18.20217,2013.0,39.0,27.77
e44a37a5-77ca-4b8d-9688-fb57f5b51798,-64.59935,17.80659,2019.0,33.0,27.82
e2db6e97-f8f5-48dd-992a-0ca1cbe7ef92,-65.00158,18.20217,2015.0,39.0,27.77
e4f7f013-ec5b-483f-8c9b-c5ad1a2bdd79,-64.95659,18.18885,2014.0,38.0,27.76
e53a84d8-fb05-45f4-8fbb-db948b62ec77,-64.75862,18.24447,2014.0,30.0,27.75
e82c11fb-e3e7-4b4b-a68b-86cc3d73c000,-64.98595,18.3445,2012.0,9.0,27.71
f7d5bd04-c629-4860-bce5-fb1b0d0c6362,-64.8624,17.6366,2016.0,24.0,27.89
f8449355-87b2-4869-8f35-27893e2c3d66,-64.8675,18.29467,2018.0,20.0,27.71
e958466f-c26d-49ea-92e9-f408b362fdee,-64.44963,17.82427,2015.0,33.0,27.83
e9c423a0-1cac-4df2-9a05-633ff8c928be,-64.44963,17.82427,2011.0,33.0,27.83
ec782a05-ce20-4db6-bbed-05bf4e65ed11,-64.95659,18.18885,2012.0,38.0,27.76
ecdc81c7-ad8f-4d73-ab4b-b42895017101,-64.90008,17.69116,2016.0,17.0,27.87
ecff549f-3a6a-4f7a-b267-6a79d37ccabb,-65.00158,18.20217,2012.0,39.0,27.77
edaaa72e-a91e-4d29-b121-e94ca41f40e3,-64.59743,17.76278,2011.0,7.0,27.82
dcb37c1b-05f5-43b7-8e79-00c7b9f62e19,-65.07677,18.18568,2011.0,30.0,27.77
dce752d3-48c6-42dc-8102-faeab2d3f94b,-64.44963,17.82427,2012.0,33.0,27.83
ddd62da0-9bcd-4286-8a10-5595bcca123e,-65.00158,18.20217,2016.0,39.0,27.77
dea9edb7-50bb-4526-b9eb-80835d853591,-64.83238,18.29459,2015.0,15.0,27.71
84237c56-81bb-478e-b752-eb9e64c4b5b5,-81.94131,24.5141,2010.0,4.7,26.68
df4d2e0f-f2af-404f-8ed3-afcdfd7f89bd,-64.87237,18.26267,2018.0,20.0,27.71
dfe1274e-cc1b-4f52-a57d-2ee670cb4e8d,-65.07677,18.18568,2017.0,30.0,27.77
dff3a07e-e34b-40f4-ade4-abbba55eab76,-64.44963,17.82427,2013.0,33.0,27.83
e1d1cac3-8aff-471b-93a6-b68c2a6a6fab,-64.95659,18.18885,2016.0,38.0,27.76
e1f70b88-663c-468f-b146-ec9933825cae,-64.59935,17.80659,2018.0,33.0,27.82
f6ea2ef0-ca2d-4eae-8c8f-40c0d3993582,-65.00158,18.20217,2015.0,39.0,27.77
f70dab30-8202-4d51-a667-f4ff797026d5,-64.75917,17.78523,2015.0,30.0,27.83
f7390764-3339-4543-9b4d-eac42dfc13e5,-64.81522,17.77661,2018.0,38.0,27.83
fc9c12b0-1418-4a86-83d4-b0dcdf2372b9,-64.99104,18.31822,2018.0,12.0,27.72
fd0c2744-e359-40a2-97cc-550624e215a2,-65.07677,18.18568,2011.0,30.0,27.77
fd5c2fcf-e02f-49a4-b346-c68396e87933,-64.98435,18.34403,2012.0,6.0,27.71
ee901bba-f596-42c9-82b1-50c25b6e9b62,-64.75862,18.24447,2015.0,30.0,27.75
f059b800-67bd-4a55-bafd-567e5320845b,-64.95659,18.18885,2019.0,38.0,27.76
f1b785be-4b97-44d6-93cd-86e4cf1a8901,-64.95659,18.18885,2012.0,38.0,27.76
f0b5f93a-1b3c-424e-b57a-1bfcf3ac8559,-64.95998,18.1877,2014.0,63.0,27.76
f2a5d372-1ea0-41b4-970b-43f2b2ce4db3,-65.00158,18.20217,2014.0,39.0,27.77
f3a93d7a-9cdf-4ee2-8d10-355c046f3922,-64.95998,18.1877,2012.0,63.0,27.76
f23edc78-6a8c-4e50-a4f4-6796b88ddcc6,-64.59935,17.80659,2019.0,33.0,27.82
f593287d-7080-44ef-9ca3-ece5a04752a1,-65.07677,18.18568,2017.0,30.0,27.77
f5bc0613-bf4d-4680-97bc-bd502555eacb,-64.8954,17.734,2016.0,8.0,27.87
f5ca7431-e4e9-4d98-913a-fe39eb3631ec,-64.59743,17.76278,2012.0,7.0,27.82
fdc781d0-5baf-4a73-bb59-73cf843420e5,-65.00158,18.20217,2013.0,39.0,27.77
fdf174ec-e155-42bd-8c8c-43968494bcf2,-64.90008,17.69116,2015.0,17.0,27.87
f45bc37e-7c5d-46d7-9f35-495d74eddbd4,-64.83238,18.29459,2016.0,15.0,27.71
fed5389a-685c-49f9-8c77-44258f710b9d,-64.44963,17.82427,2012.0,33.0,27.83
ff4fd09f-1d82-4d18-a7e6-4249c81adb22,-65.00158,18.20217,2012.0,39.0,27.77
a251a60e-3ba9-4d1a-8d31-759817093f55,-81.7553,24.4634,2016.0,20.7,26.9
71bccbc3-236d-486e-b601-0eae7f7db323,-81.7553,24.4634,2016.0,20.7,26.9
07200cf0-42af-4d71-8e1e-201d58c8a35c,-80.15751,25.47661,2016.0,4.1,27.12
78cdf804-2798-4c2a-bc06-29013967df53,-81.35929,24.55397,2016.0,20.4,26.88
488752e6-4680-4aba-a51a-0569e83cc6bd,-81.35929,24.55397,2016.0,20.4,26.88
b00f7e0f-9c25-47d2-a9f7-3b70cbfd860f,-81.35944,24.55384,2016.0,20.4,26.88
f5193da7-90fd-4bce-98b9-7a80e6da0cc0,-81.35944,24.55384,2016.0,20.4,26.88
42ebd6da-5e85-4096-80eb-783ea24110c7,-67.11616516,10.57557205,2012.0,3.0,27.01
e5ffd29a-3aff-4529-8ba0-987d705ebb2f,-67.37168312,10.53681087,2012.0,0.0,27.12
d9668c28-1f23-4807-b30c-a50df6ec9939,-67.25203514,10.5510186,2012.0,15.0,27.09
70a7c6b5-3c27-44e4-8691-3b5c412b6641,-67.2099781,10.55591257,2012.0,12.0,27.05
3242fefd-6154-496c-962e-f96c03d09f09,-67.25349426,10.54941538,2012.0,7.0,27.09
0f292403-f07d-4774-9dd7-21a90debc14a,-66.15593433,10.60758456,2012.0,6.0,26.71
062617f9-de71-4705-9907-cc9e77423d42,-68.21651459,10.7392113,2012.0,10.0,27.26
2cef2461-2c2a-4bb6-8162-04ed82972d6f,-67.51356125,10.52334088,2011.0,7.0,27.14
d3f08deb-eb5e-4ae2-9c20-f1dc67a2d72e,-67.23907471,10.56949715,2012.0,15.0,27.05
47d8ed5f-823a-4e62-ae3f-3b7f7b9f95c5,-67.80897975,10.4788446,2012.0,2.0,
293fde53-01e1-4c1b-83ae-54f2ce38d7d1,-63.76893997,11.21637464,2012.0,10.0,26.52
050609f4-d532-44e4-bf85-29466cb8f5ab,-66.05434299,10.56311627,2012.0,4.0,26.79
486182c4-6093-4eff-95e0-b85e95d0c721,-67.94559002,10.46299824,2012.0,1.0,27.2
23265e83-a60e-41ce-b4ef-5f27a3872bbe,-66.0968399,10.53321401,2012.0,3.0,26.77
e38009f3-b73c-4fb9-b8f0-0f9b847c4f15,-68.26720297,10.94517091,2012.0,4.0,27.26
